Construction,PeakHour,RouteLength,TravelTime,WaitingTime,TimeLoss,AverageSpeed,CongestionLevel
0,0,849.74,141.0,41.0,103.59,6.026524822695036,0.2907801418439716
0,0,422.0,45.0,1.0,12.73,9.377777777777778,0.022222222222222223
0,0,1446.67,162.0,17.0,56.05,8.930061728395062,0.10493827160493827
0,0,170.84,29.0,5.0,14.95,5.891034482758621,0.1724137931034483
0,0,319.55,62.0,25.0,38.36,5.154032258064516,0.4032258064516129
0,0,1052.45,157.0,36.0,107.5,6.703503184713376,0.22929936305732485
0,0,513.1,52.0,0.0,15.77,9.867307692307692,0.0
0,0,344.94,48.0,11.0,23.45,7.18625,0.22916666666666666
0,0,684.52,122.0,57.0,91.27,5.610819672131147,0.4672131147540984
0,0,358.1,43.0,0.0,12.22,8.327906976744186,0.0
0,0,452.28,59.0,15.0,24.65,7.6657627118644065,0.2542372881355932
0,0,796.44,191.0,109.0,135.91,4.169842931937173,0.5706806282722513
0,0,288.02,24.0,0.0,4.31,12.000833333333333,0.0
0,0,115.96,16.0,0.0,5.97,7.2475,0.0
0,0,1193.2,204.0,83.0,136.87,5.849019607843138,0.4068627450980392
0,0,628.5,79.0,11.0,21.13,7.955696202531645,0.13924050632911392
0,0,116.0,17.0,0.0,5.68,6.823529411764706,0.0
0,0,1180.28,203.0,90.0,129.38,5.814187192118227,0.4433497536945813
0,0,659.37,56.0,0.0,9.33,11.774464285714286,0.0
0,0,269.35,37.0,11.0,18.51,7.2797297297297305,0.2972972972972973
0,0,753.27,67.0,15.0,29.78,11.242835820895522,0.22388059701492538
0,0,244.7,22.0,0.0,4.78,11.122727272727273,0.0
0,0,978.01,72.0,16.0,30.16,13.583472222222222,0.2222222222222222
0,0,399.39,39.0,0.0,8.63,10.24076923076923,0.0
0,0,257.57,31.0,0.0,8.65,8.308709677419355,0.0
0,0,1259.3,200.0,93.0,141.09,6.2965,0.465
0,0,593.07,54.0,0.0,5.76,10.982777777777779,0.0
0,0,99.2,42.0,28.0,33.04,2.361904761904762,0.6666666666666666
0,0,420.95,36.0,0.0,4.75,11.693055555555555,0.0
0,0,984.91,154.0,65.0,105.6,6.39551948051948,0.42207792207792205
0,0,267.16,20.0,0.0,8.38,13.358,0.0
0,0,336.91,54.0,26.0,36.56,6.239074074074074,0.48148148148148145
0,0,399.59,59.0,6.0,28.47,6.772711864406779,0.1016949152542373
0,0,271.42,17.0,0.0,4.78,15.965882352941177,0.0
0,0,417.66,40.0,0.0,7.73,10.441500000000001,0.0
0,0,255.93,27.0,0.0,4.73,9.47888888888889,0.0
