Construction,PeakHour,RouteLength,TravelTime,WaitingTime,TimeLoss,AverageSpeed,CongestionLevel,PredictedCongestion,SuggestedStrategy,ExpectedCongestion
0,0,804.83,128.0,57.0,85.46,6.287734375,0.4453125,0.44666564,Traffic Diversion,0.3573325157165528
0,0,798.44,83.0,26.0,44.19,9.61975903614458,0.3132530120481928,0.30119652,Traffic Diversion,0.24095721244812013
0,0,368.6,40.0,0.0,8.27,9.215,0.0,0.0005817695,No Action,0.0005817695055156946
0,0,1154.47,100.0,30.0,55.06,11.5447,0.3,0.29306006,No Action,0.2930600643157959
0,0,599.16,59.0,10.0,30.13,10.155254237288135,0.1694915254237288,0.17058504,No Action,0.170585036277771
0,0,669.46,55.0,0.0,5.42,12.172,0.0,0.0012439863,No Action,0.0012439863057807088
0,0,121.03,32.0,13.0,20.4,3.7821875,0.40625,0.42456588,Traffic Diversion,0.33965270519256596
0,0,542.14,99.0,40.0,67.04,5.476161616161616,0.404040404040404,0.41182682,Traffic Diversion,0.3294614553451538
0,0,1050.05,96.0,16.0,33.38,10.938020833333333,0.1666666666666666,0.16679037,No Action,0.16679036617279053
0,0,688.92,118.0,44.0,65.81,5.8383050847457625,0.3728813559322034,0.37990063,Traffic Diversion,0.3039205074310303
0,0,1078.5,106.0,36.0,55.0,10.174528301886792,0.3396226415094339,0.32178822,Traffic Diversion,0.25743057727813723
0,0,710.19,41.0,0.0,7.89,17.321707317073173,0.0,-0.0010931836,No Action,-0.0010931836441159248
0,0,311.06,38.0,1.0,10.84,8.18578947368421,0.0263157894736842,0.026616812,No Action,0.026616811752319336
0,0,488.97,78.0,42.0,59.12,6.268846153846154,0.5384615384615384,0.50670904,Traffic Diversion,0.4053672313690186
0,0,1053.34,128.0,20.0,48.23,8.22921875,0.15625,0.15606238,No Action,0.15606237947940826
0,0,1124.65,87.0,1.0,21.32,12.927011494252875,0.0114942528735632,0.009520112,No Action,0.009520111605525017
0,0,858.07,61.0,0.0,12.36,14.06672131147541,0.0,-9.8256016e-05,No Action,-9.825601591728628e-05
0,0,706.72,55.0,0.0,8.36,12.849454545454543,0.0,0.00043456088,No Action,0.0004345608758740127
0,0,928.08,150.0,37.0,94.05,6.187200000000001,0.2466666666666666,0.25570485,No Action,0.2557048499584198
0,0,1024.19,108.0,20.0,58.09,9.483240740740742,0.1851851851851851,0.20770918,No Action,0.2077091783285141
