Metric,Normal,Construction,% Change
Vehicles,904.0,907.0,0.33185840707964603
Avg Duration (s),682.8429203539823,693.5226019845645,1.5640026882091567
Avg Waiting (s),547.5940265486726,561.755237045204,2.5860783372283085
Avg TimeLoss (s),578.2904314159296,595.279878721058,2.9378745319251145
Avg Speed (m/s),0.8686072510489404,0.846916338778269,-2.4972059863047695
